method,seed,k,nh_score
γ=0.7,191664964,84,0.580541296360707
γ=0.7,191664964,85,0.5815459757910384
γ=0.7,191664964,86,0.5824633473455257
γ=0.7,191664964,87,0.5834059504543757
γ=0.7,191664964,88,0.5843524129719663
γ=0.7,191664964,89,0.5853313762464873
γ=0.7,191664964,90,0.586262465134936
γ=0.7,191664964,91,0.587165248486716
γ=0.7,191664964,92,0.5881004223352181
γ=0.7,191664964,93,0.5890096170251949
γ=0.7,191664964,94,0.5899423382998372
γ=0.7,191664964,95,0.5907679323402958
γ=0.7,191664964,96,0.5915824482970924
γ=0.7,191664964,97,0.5924005099678283
γ=0.7,191664964,98,0.5932507080575492
γ=0.7,191664964,99,0.5940451445866608
γ=0.7,191664964,100,0.594858534128117
γ=0.7,191664964,101,0.5957277198629106
γ=0.7,191664964,102,0.596456398023906
γ=0.7,191664964,103,0.5972903402500586
γ=0.7,191664964,104,0.5980864488546462
γ=0.7,191664964,105,0.5988901815448705
γ=0.7,191664964,106,0.5996870658642796
γ=0.7,191664964,107,0.6005279028181757
γ=0.7,191664964,108,0.6013652179591228
γ=0.7,191664964,109,0.6021721498668642
γ=0.7,191664964,110,0.6029155631539982
γ=0.7,191664964,111,0.6037023086389218
γ=0.7,191664964,112,0.6044888728306368
γ=0.7,191664964,113,0.6052704312143976
γ=0.7,191664964,114,0.6059974047283434
γ=0.7,191664964,115,0.6068190529032352
γ=0.7,191664964,116,0.6075606726902689
γ=0.7,191664964,117,0.6082878212842111
γ=0.7,191664964,118,0.6090631221104548
γ=0.7,191664964,119,0.6098201013257288
γ=0.7,191664964,120,0.6105994458903535
γ=0.7,191664964,121,0.6113912342990125
γ=0.7,191664964,122,0.6121112045484888
γ=0.7,191664964,123,0.6128351670553899
γ=0.7,191664964,124,0.6135047976795643
γ=0.7,191664964,125,0.6142758794391739
γ=0.7,191664964,126,0.6150753671742674
γ=0.7,191664964,127,0.6157951658527783
γ=0.7,191664964,128,0.6164535408445975
γ=0.7,191664964,129,0.6170733977256383
γ=0.7,191664964,130,0.6177169778420724
γ=0.7,191664964,131,0.6183520140789739
γ=0.7,191664964,132,0.6191094048536748
γ=0.7,191664964,133,0.6198159532825852
γ=0.7,191664964,134,0.6204778099261061
γ=0.7,191664964,135,0.6210263155439882
γ=0.7,191664964,136,0.6216787991327839
γ=0.7,191664964,137,0.622205628484251
γ=0.7,191664964,138,0.6227336440922349
γ=0.7,191664964,139,0.6233117443581866
γ=0.7,191664964,140,0.6238003286277991
γ=0.7,191664964,141,0.6243355715647554
γ=0.7,191664964,142,0.6248833780113304
γ=0.7,191664964,143,0.6254123678353383
γ=0.7,191664964,144,0.6259229330497487
γ=0.7,191664964,145,0.6264290615165928
γ=0.7,191664964,146,0.6269012297829909
γ=0.7,191664964,147,0.6273881057754309
γ=0.7,191664964,148,0.6278689696328854
γ=0.7,191664964,149,0.6284008521816448
γ=0.7,191664964,150,0.6288861836397728
γ=0.7,191664964,151,0.6294190188711977
γ=0.7,191664964,152,0.6299423575730528
γ=0.7,191664964,153,0.630411115555841
γ=0.7,191664964,154,0.6309062233207979
