seed,perplexity,gamma,AUC_1_10,AUC_11_90,global_spearman,median_eff_perp
942484272,50,0.5,0.6685906084656085,0.773695716063771,0.669999473605714,111.2070173342583
942484272,50,0.7,0.7233647486772486,0.7758785264459791,0.6198436206476944,83.07242842119955
942484272,50,1.0,0.772242366622575,0.7695621353206571,0.5927374260332433,49.99999999490529
942484272,50,1.2,0.7865666335978837,0.761408131862358,0.5732135797765006,36.34898352687681
942484272,50,1.5,0.8094979883156966,0.738118334005927,0.5081578803057832,24.24195771507356
942484272,50,2.0,0.824640128968254,0.7102035462198052,0.4406771255983649,15.05995362174335
929893138,50,0.0,0.3819125881834214,0.6345956643900952,0.7366308745642209,149.99999999999974
929893138,50,0.5,0.6684409997795415,0.7733209949913077,0.670161614495532,111.2070173342583
929893138,50,0.7,0.7282443783068784,0.7793447608424204,0.6114693043846253,83.07242842119955
929893138,50,1.0,0.7668025242504408,0.774820374623589,0.5786073913230962,49.99999999490529
929893138,50,1.2,0.7860868606701941,0.7549892836936518,0.5767845900319786,36.34898352687681
929893138,50,1.5,0.8051330742945326,0.7370222472132804,0.5167380683963801,24.24195771507356
929893138,50,2.0,0.8229532903439152,0.710687901584736,0.4462790250260582,15.05995362174335
1843824993,50,0.0,0.3862081955467372,0.630852688984806,0.7384133284332787,149.99999999999974
1843824993,50,0.5,0.666036403218695,0.7750216678436056,0.6745440900623578,111.2070173342583
1843824993,50,0.7,0.7234903549382719,0.7777960747056338,0.625629534125304,83.07242842119955
1843824993,50,1.0,0.7684662698412698,0.7680712063775135,0.5894463990637023,49.99999999490529
1843824993,50,1.2,0.7852682429453263,0.7541428860609966,0.5624995724586748,36.34898352687681
1843824993,50,1.5,0.8082764825837743,0.7370778616764739,0.5067090837150903,24.24195771507356
1843824993,50,2.0,0.8221430224867724,0.7119570828015919,0.4400213081110337,15.05995362174335
184566854,50,0.0,0.3967821318342152,0.6379512587634512,0.7416774691005243,149.99999999999974
184566854,50,0.5,0.6755887896825398,0.7750444700374223,0.6709209990805156,111.2070173342583
184566854,50,0.7,0.7264707616843034,0.7797662018115009,0.6279003086978941,83.07242842119955
184566854,50,1.0,0.7727891865079365,0.7707110557734802,0.623096767315613,49.99999999490529
184566854,50,1.2,0.7877489252645502,0.7581657065931411,0.5755977783759626,36.34898352687681
184566854,50,1.5,0.8084628802910053,0.7374876070787441,0.5062827614747585,24.24195771507356
184566854,50,2.0,0.8226001157407407,0.7089779883708621,0.441110650784155,15.05995362174335
1497586439,50,0.0,0.3862969025573192,0.6179436754617794,0.7220786084782815,149.99999999999974
1497586439,50,0.5,0.6798094962522045,0.7734889874022398,0.6711818649315004,111.2070173342583
1497586439,50,0.7,0.7241026510141093,0.774233583628133,0.6307002795922513,83.07242842119955
1497586439,50,1.0,0.7677175374779541,0.7728165374516264,0.5665696653557619,49.99999999490529
1497586439,50,1.2,0.7854325396825397,0.7592560631920813,0.5679660340439942,36.34898352687681
1497586439,50,1.5,0.8062175925925926,0.7342693688551601,0.493564085046516,24.24195771507356
1497586439,50,2.0,0.8235307264109348,0.7105061770663188,0.4441333556978321,15.05995362174335
432652533,50,0.0,0.3802802303791887,0.6251253272784609,0.7403344184131905,149.99999999999974
432652533,50,0.5,0.6760347773368606,0.7744330240641643,0.6729822815478679,111.2070173342583
432652533,50,0.7,0.7202534171075836,0.7816638164519156,0.6224094801453659,83.07242842119955
432652533,50,1.0,0.7711768904320987,0.7712536242335654,0.5950069858672309,49.99999999490529
432652533,50,1.2,0.7870809358465609,0.7562486705074647,0.5578608578500104,36.34898352687681
432652533,50,1.5,0.8079998346560847,0.7386670009240772,0.5199412049473249,24.24195771507356
432652533,50,2.0,0.8217176477072311,0.7093023402435287,0.4225936838107842,15.05995362174335
202244314,50,0.0,0.4051622850529101,0.6384239398219663,0.7365122013217911,149.99999999999974
202244314,50,0.5,0.6728451554232804,0.7746186047465178,0.6701438866867527,111.2070173342583
202244314,50,0.7,0.7220208884479719,0.777632662767479,0.6269121684388956,83.07242842119955
202244314,50,1.0,0.7695384700176368,0.767567821645124,0.5962460046614414,49.99999999490529
202244314,50,1.2,0.7861036430776015,0.7589937653945713,0.5688413271327071,36.34898352687681
202244314,50,1.5,0.8085436232363316,0.7391487173253533,0.5081114323554539,24.24195771507356
202244314,50,2.0,0.8214736827601412,0.7104772924605935,0.4377524175225418,15.05995362174335
191664964,100,0.0,0.3362231316137566,0.5478342008106482,0.7631363268883277,300.00000000000045
191664964,100,0.5,0.523079475308642,0.7291879087260604,0.7498881242406097,230.44413167087453
191664964,100,0.7,0.6016702491181658,0.7500157434864013,0.7351486619063841,173.41725010362003
191664964,100,1.0,0.6804793595679012,0.7640119396198679,0.7009084550233954,100.00000001729028
191664964,100,1.2,0.7111696428571429,0.7649192743594687,0.6430424041793646,68.58163164956684
191664964,100,1.5,0.7353757440476191,0.7473023707407306,0.5965901942435295,42.34428002879583
191664964,100,2.0,0.7445364858906526,0.7183291380026274,0.4746171395799058,24.272642052923132
1662057958,100,0.0,0.33594033840388,0.5555525515263595,0.7677198924611446,300.00000000000045
1662057958,100,0.5,0.5211474316578483,0.7239587770824062,0.7521935170879582,230.44413167087453
1662057958,100,0.7,0.6181284722222222,0.7511104554757114,0.7352930564665056,173.41725010362003
1662057958,100,1.0,0.6775549217372134,0.7623076969375226,0.6999995021479982,100.00000001729028
1662057958,100,1.2,0.7085645667989418,0.7617718139301555,0.6706826760191991,68.58163164956684
1662057958,100,1.5,0.7359573137125219,0.7437372790018599,0.600097956748261,42.34428002879583
1662057958,100,2.0,0.7476010526895943,0.7186568724782367,0.4641371627914227,24.272642052923132
1405681632,100,0.0,0.3394760526895943,0.5459192015206913,0.762730405757815,300.00000000000045
1405681632,100,0.5,0.52579935515873,0.7224811275803159,0.7479945779688406,230.44413167087453
1405681632,100,0.7,0.6210916556437389,0.7575888169028122,0.7283732843015832,173.41725010362003
1405681632,100,1.0,0.6799276344797178,0.7625780789442461,0.70106097245254,100.00000001729028
1405681632,100,1.2,0.7153512731481482,0.7625643437375713,0.6598411690063665,68.58163164956684
1405681632,100,1.5,0.7286489748677248,0.7437592896438173,0.5958118106310513,42.34428002879583
1405681632,100,2.0,0.7450153494268077,0.7191432032272427,0.4634003363450349,24.272642052923132
942484272,100,0.0,0.3299188161375662,0.546459958024933,0.7630894482931134,300.00000000000045
942484272,100,0.5,0.5292954420194003,0.7285285699349886,0.7540412687513156,230.44413167087453
942484272,100,0.7,0.6215124834656084,0.7570932779797862,0.7414516130397641,173.41725010362003
942484272,100,1.0,0.6815792824074074,0.7644950091693523,0.7022308225129837,100.00000001729028
942484272,100,1.2,0.7183942074514992,0.7642253407065711,0.6651814868454686,68.58163164956684
942484272,100,1.5,0.7327456459435625,0.7467346816902241,0.5924145603087181,42.34428002879583
942484272,100,2.0,0.7460271990740741,0.7213158357868286,0.4643022303210505,24.272642052923132
929893138,100,0.0,0.3397035383597883,0.5470695193681603,0.7637700689728454,300.00000000000045
929893138,100,0.5,0.5191576829805996,0.7144872421522984,0.7433525560831787,230.44413167087453
929893138,100,0.7,0.6226020723104057,0.7561020540026545,0.731190840139554,173.41725010362003
929893138,100,1.0,0.6815402612433863,0.7614379083646978,0.703500706677401,100.00000001729028
929893138,100,1.2,0.7126577380952381,0.7643434629988504,0.6507999981045277,68.58163164956684
929893138,100,1.5,0.7302843915343915,0.7471341998306803,0.5947447906331842,42.34428002879583
