delta_rho,top5_mass,sigma_i
24.409376892063978,0.48100900964065235,0.6816760779109474
18.451937307564993,0.41470289957532214,0.8742804323504466
19.17748004405739,0.4666184929554601,0.469409592508248
27.22061250609388,0.49808069699239754,0.5468862114312876
15.253378399738029,0.38321757602364914,0.4843795941632059
11.839354746872733,0.37575410470651466,0.3588800719750879
30.335490771722572,0.557747229476251,0.5001507486900989
19.95594582873379,0.47985851197729906,0.6755487531891636
29.992863610338404,0.48373649637393806,0.6760974658312642
30.4526659175858,0.4996365880428049,0.7340639475779406
23.151981074934017,0.4915035371143907,0.704323402710131
25.401121867076583,0.5223368805144822,0.5823659114810918
10.626350464975577,0.3463568978422953,0.33424125388334774
20.37107183523331,0.4668059069415179,0.633232863426087
18.11028690275325,0.38066608890482484,0.508766381669228
27.679266933393798,0.5641988442150441,0.48553691439422564
16.942738193257355,0.43693625700267585,0.39448531770077494
10.064776030015242,0.35385097714543523,0.29553084314982525
23.735371342112604,0.515287339901731,0.6657327603499406
20.860779705339727,0.41119072124957656,0.5796871969570104
21.013756224478733,0.38762204761965074,0.4797036496745848
27.18160105908002,0.491523948271144,0.7293106919698408
22.592137150318834,0.5022307671002706,0.5761325257231276
25.673018553706466,0.49007645032046104,0.5893097937355165
13.023399867831237,0.35100840018024004,0.45944585840421126
13.465865653498128,0.36030170059453714,0.442390441670217
26.751699647572828,0.47078848096017506,0.6298449177631583
18.149641490638654,0.439224458223875,0.4827989170959735
19.912853278534392,0.41337086068831325,0.5258769285794471
12.9482186695443,0.37788196395822243,0.22142810254482248
29.111751712871076,0.5273237716102045,0.5600905844744043
23.246443188778805,0.48772252457435805,0.5743462891304533
13.705269908662615,0.3334607426297729,0.45422067954806833
27.353625101010262,0.5431726891544765,0.5298333675117206
15.440658360930673,0.41244328680828746,0.1625433847541758
28.689349218815508,0.5027430070016284,0.5927275901899474
29.05358942688898,0.5533590013997641,0.5649081077616412
25.51849288720277,0.5413979922245498,0.5644053896218139
21.523470443383484,0.49340289946338856,0.6693891449994521
10.882719754581814,0.4004269871913586,0.2518280228026291
26.994718423568287,0.5574768293131264,0.52097773801799
29.00425315919928,0.553469753076634,0.5482439785540105
32.37244498057363,0.512861708847298,0.5222771632225567
22.93192191405766,0.5276382831429474,0.5197715081117238
23.825218670536493,0.5148269221621599,0.6089475841582183
19.529733951289945,0.41556108940547964,0.5095922591533169
20.999282657981148,0.47080800771113435,0.5005655332338853
22.635866395125568,0.4613512868574939,0.6005651284786646
23.520652710260613,0.5011680485016835,0.5483143965041694
28.56343583888185,0.44653882824431423,0.5808215000389291
24.61849701366039,0.5424226544688208,0.5540749151374778
25.64802828093952,0.5303804453607858,0.5741931297319885
23.74861936635714,0.4981386397643307,0.5134561727498473
24.090205288176694,0.5079867796982144,0.5524199248391439
16.158890229840107,0.4033876760703037,0.3516775496138844
