delta_rho,top5_mass,sigma_i
24.1265457373888,0.5204722154881923,1.9610957499812358
20.302946996043303,0.4524535956230334,1.848026250190161
24.399516299253214,0.4780389538457087,2.055860188443099
24.746082776169146,0.4775585735066449,2.0404966063877175
19.539906498303726,0.4684145937648216,2.4456769423412754
23.848147428576006,0.4635404491804587,1.9448289503737295
23.676299646399894,0.4866527035106831,1.9455378799672234
22.4862607073498,0.49300718448951464,1.9152804588251748
22.158747419472732,0.5046517048051209,2.760208086915342
26.726328094034397,0.5106347964120973,2.6869884972340587
22.41874170108554,0.4299195247688462,1.8108159348386388
21.460067933023797,0.4871760653138453,2.4411416466918623
21.426976564920935,0.48724379370131676,1.8837156040392071
23.632708901787144,0.506202866571143,2.7020068625107934
25.489980213950872,0.5136165660395753,2.0696288792943056
24.121688761268352,0.48448972904020515,3.301079600126372
22.743882925878022,0.4597376606258256,2.884987818232504
25.061798097738095,0.5196430801763117,2.044225754990747
18.650905194503316,0.4351940858489679,2.3657984567414467
20.578915579088825,0.48753985731953736,2.224720581812169
22.579339219336212,0.4913440486305255,1.7667098053731642
22.21729206862223,0.45590110204921774,0.7071067811865475
22.780296608188316,0.45875844071284727,2.516266745286352
23.42041291396821,0.4631144304053084,1.7717323658362298
21.666247982587272,0.4877167274955925,2.518061547494473
22.039723812230587,0.5009254085686027,1.8360101613985662
19.699118101614353,0.42536196756159844,2.48299523737762
27.659581007391605,0.4986709392247335,2.1954492746993193
25.329212681885657,0.4465336344996514,2.540028170260808
22.592141996345124,0.4628604623087212,1.9868256611202255
19.90686180729317,0.4504781960797986,2.475206887955607
16.898588798566283,0.4301803080562585,2.0301641787724414
19.27138855454719,0.42925154365314044,2.2721247128927162
20.02261771579064,0.46254412982329973,1.9798171209668767
27.218663738573593,0.5248979223636141,3.4025755171869583
25.99635663347153,0.4739950517534895,2.792752661503236
20.952068021119054,0.4642283791304532,2.6827617400304056
20.24218511439635,0.4731662553349585,1.7611563965190564
25.449577118406967,0.4861897696528681,1.9057174633626979
25.72855000698603,0.5058998015230836,2.115296175180497
22.907856634053378,0.5201600812632917,2.482148919227875
