dataset,experiment,metric,n_seeds,n_configs,mean_std_across_seeds,max_std_across_seeds
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,smooth_p50,5,200,0.0003456286234248024,0.0008237916320655523
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,smooth_p70,5,200,0.0001658242138578462,0.0012729585497524008
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,standard_p10,5,200,0.0003173198417565419,0.0008549137681780678
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,standard_p100,5,200,0.0004471808183986943,0.0016870636246061914
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,standard_p120,5,200,0.0003193985238765925,0.0008211707669976064
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,standard_p150,5,200,0.0002233190735654592,0.0013153101597442713
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,standard_p20,5,200,0.00032939775877835286,0.0008138689409611934
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,standard_p200,5,200,0.0007152144184628871,0.0027438688610301196
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,standard_p30,5,200,0.00023279226322694822,0.001427320881217405
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,standard_p300,5,200,0.0004298192300806014,0.0008869145093743904
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,standard_p5,5,200,0.0006237538183082204,0.0015902124104043534
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,standard_p50,5,200,0.0003199260059519067,0.001957075077032764
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,standard_p70,5,200,0.00022638348059175357,0.0013291569370338983
mnist_gamma_tsne,mnist_gamma_tsne/sensitivity_grid,AUC_11_90,5,28,0.00025409947275282976,0.0007291488337114745
mnist_gamma_tsne,mnist_gamma_tsne/sensitivity_grid,AUC_1_10,5,28,0.0003211311181867046,0.0011486556459412416
mnist_gamma_tsne,mnist_gamma_tsne/sensitivity_grid,global_spearman,5,28,0.008595151684444828,0.010768484204471554
mnist_gamma_tsne,mnist_gamma_tsne/sensitivity_grid,median_eff_perp,5,28,0.0,0.0
mouse_gamma_tsne,mouse_gamma_tsne/exp10_no_vs_perplexity,smooth_gamma0.7_auc,5,13,0.0004141254502804876,0.0007649098587162871
mouse_gamma_tsne,mouse_gamma_tsne/exp10_no_vs_perplexity,smooth_gamma0.7_no,5,13,0.0004059307787804348,0.0007921373965002914
mouse_gamma_tsne,mouse_gamma_tsne/exp10_no_vs_perplexity,standard_auc,5,13,0.00042794229119410974,0.0010581805266772959
mouse_gamma_tsne,mouse_gamma_tsne/exp10_no_vs_perplexity,standard_no,5,13,0.00038473343612709874,0.0006751317955516993
mouse_gamma_tsne,mouse_gamma_tsne/exp4_neighborhood_overlap_gamma_sweep,gamma_0.00,5,200,0.0004387608298013138,0.0012925377735275715
mouse_gamma_tsne,mouse_gamma_tsne/exp4_neighborhood_overlap_gamma_sweep,gamma_0.30,5,200,0.00039825950458671636,0.0006922317351423071
mouse_gamma_tsne,mouse_gamma_tsne/exp4_neighborhood_overlap_gamma_sweep,gamma_0.50,5,200,0.0006285635690534542,0.0014782510216652266
mouse_gamma_tsne,mouse_gamma_tsne/exp4_neighborhood_overlap_gamma_sweep,gamma_0.70,5,200,0.00044716394362195134,0.0016754430394992398
mouse_gamma_tsne,mouse_gamma_tsne/exp4_neighborhood_overlap_gamma_sweep,gamma_0.90,5,200,0.0006669624300206655,0.0016678003967188887
mouse_gamma_tsne,mouse_gamma_tsne/exp4_neighborhood_overlap_gamma_sweep,gamma_1.00,5,200,0.0005143907151011884,0.0013251359346540489
mouse_gamma_tsne,mouse_gamma_tsne/exp4_neighborhood_overlap_gamma_sweep,gamma_1.20,5,200,0.0005256477881991335,0.0010911858840152637
mouse_gamma_tsne,mouse_gamma_tsne/exp4_neighborhood_overlap_gamma_sweep,gamma_1.50,5,200,0.0011063347507990324,0.001992144919109329
mouse_gamma_tsne,mouse_gamma_tsne/exp4_neighborhood_overlap_gamma_sweep,gamma_2.00,5,200,0.0004889949335893269,0.0010669351882410317
mouse_gamma_tsne,mouse_gamma_tsne/exp6_sensitivity,AUC_11_90,5,28,0.0003655883136468438,0.001112731392669845
mouse_gamma_tsne,mouse_gamma_tsne/exp6_sensitivity,AUC_1_10,5,28,0.0006051802744766887,0.001795542180784832
mouse_gamma_tsne,mouse_gamma_tsne/exp6_sensitivity,global_spearman,5,28,0.007368458381467811,0.02125987674551318
mouse_gamma_tsne,mouse_gamma_tsne/exp6_sensitivity,median_eff_perp,5,28,0.0,0.0
mouse_gamma_tsne,mouse_gamma_tsne/exp7_neighborhood_overlap_comparison,sharp  γ=1.5,5,200,0.0006259428376339109,0.0015385382118848858
mouse_gamma_tsne,mouse_gamma_tsne/exp7_neighborhood_overlap_comparison,smooth  γ=0.7,5,200,0.0005462631900474942,0.0012890220751099386
mouse_gamma_tsne,mouse_gamma_tsne/exp7_neighborhood_overlap_comparison,standard  ρ=30,5,200,0.001106284478691482,0.0022725574509230998
mouse_gamma_tsne,mouse_gamma_tsne/exp7_neighborhood_overlap_comparison,standard  ρ=51  (matched),5,200,0.00047645888850235093,0.0022489399523498823
mouse_gamma_tsne,mouse_gamma_tsne/exp8_global_spearman,global_spearman,5,28,0.008586751689684195,0.05580092288830982
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,smooth_p10,5,200,0.0006196636742218825,0.0020916674980233745
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,smooth_p100,5,200,0.00037896864581391117,0.0011295927243467022
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,smooth_p120,5,200,0.00038061891275794957,0.0010790061824538064
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,smooth_p150,5,200,0.0006190536920383304,0.0010594336642480258
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,smooth_p20,5,200,0.0007408513628420993,0.0017260213582110866
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,smooth_p200,5,200,0.000571097839150613,0.0009074436589196247
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,smooth_p30,5,200,0.0004777674419579147,0.0010310706921444102
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,smooth_p300,5,200,0.00041201315617530476,0.0010937868056389163
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,smooth_p5,5,200,0.0007393683764401615,0.0018337229711369368
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,smooth_p50,5,200,0.0004134237157689838,0.0011806056956699769
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,smooth_p70,5,200,0.0005942996691878855,0.0014504325775157882
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,standard_p10,5,200,0.0009163356585991608,0.0020254984824711495
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,standard_p100,5,200,0.0004920410946143585,0.0010652823054697026
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,standard_p120,5,200,0.0008277699912822905,0.0010739218739483447
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,standard_p150,5,200,0.0007308685053685243,0.0009359243324770149
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,standard_p20,5,200,0.0009474534409455736,0.0014394996422316402
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,standard_p200,5,200,0.0006843244313741578,0.0015620668854193335
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,standard_p30,5,200,0.0005871724394338399,0.001671757850032775
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,standard_p300,5,200,0.0003979673081727978,0.0007381112023443683
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,standard_p5,5,200,0.0012300062160642933,0.0017439123808591346
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,standard_p50,5,200,0.0003187955327306193,0.0022572693156755522
mouse_gamma_tsne,mouse_gamma_tsne/exp9_smooth_vs_envelope,standard_p70,5,200,0.0004604921771830386,0.002805845679183396
mouse_gamma_tsne,mouse_gamma_tsne/sensitivity_grid,AUC_11_90,5,28,0.0003655883136468438,0.001112731392669845
mouse_gamma_tsne,mouse_gamma_tsne/sensitivity_grid,AUC_1_10,5,28,0.0006051802744766887,0.001795542180784832
mouse_gamma_tsne,mouse_gamma_tsne/sensitivity_grid,global_spearman,5,28,0.007368458381467811,0.02125987674551318
mouse_gamma_tsne,mouse_gamma_tsne/sensitivity_grid,median_eff_perp,5,28,0.0,0.0
