seed,k,gamma_0.00,gamma_0.30,gamma_0.50,gamma_0.70,gamma_0.90,gamma_1.00,gamma_1.20,gamma_1.50,gamma_2.00
191664964,105,0.33705909960648395,0.3388533882089606,0.3374020722769775,0.33088920177623743,0.3143579190584498,0.29921657821582004,0.2812303693274126,0.2641900429618398,0.24334813531174412
191664964,106,0.3387071394853162,0.3406418527472213,0.33892528645200054,0.33244167250776036,0.31575879382608324,0.300606520090978,0.2825110503955255,0.26552062025262135,0.24463215414765332
191664964,107,0.34032437488043193,0.342311861860798,0.34045545690944,0.3339403257919834,0.31719371089681364,0.30178625835205086,0.2835552280473029,0.266766100061644,0.24595239950968237
191664964,108,0.3418695420211721,0.3440281638727431,0.3418239126161795,0.33521115884648867,0.31850728666498185,0.30312315727402916,0.28487490523123576,0.26803414483475135,0.24726223570044648
191664964,109,0.34357763387609463,0.34542432062098755,0.3431394370213743,0.33651431790834035,0.3197411160804335,0.30437292638988395,0.28611820186268444,0.26920241216935265,0.24844022786236447
191664964,110,0.34532703838996487,0.34674340064787373,0.3445309807705562,0.3378868288648425,0.3209869736025915,0.3055344958301744,0.2873044317320284,0.270445930112344,0.2497691088290027
191664964,111,0.34701418628636216,0.34843827906754365,0.34599990437746314,0.33930291170624755,0.32230600577833335,0.3068663811650923,0.2886571180733425,0.2716465517830188,0.2511525930782944
191664964,112,0.34846136142098993,0.34968320155962307,0.34742567421206544,0.34058540019495287,0.32333410050904365,0.30789017654066936,0.2898908805372035,0.272812195386115,0.2524166034874905
191664964,113,0.350228451428073,0.351358967305615,0.34888323817319367,0.3420934336149,0.3247432018088254,0.30924808952880634,0.2912269284185526,0.2740511382315645,0.25373539890101776
191664964,114,0.35166194485455493,0.35283242222310895,0.350281978638788,0.34331896838381015,0.326084354175811,0.3103893167338361,0.29226686884003034,0.27535812617214,0.25482156870569145
191664964,115,0.35334080495764253,0.35454065992022943,0.3515871707815539,0.34476052345320896,0.32712529254705475,0.3116260671786927,0.29343705705903683,0.27647756864554834,0.25615255298810036
191664964,116,0.3549678439779353,0.35605931871062196,0.3530659329167865,0.3462033672322292,0.3283508927871167,0.3128807090010719,0.294678570494889,0.2776692112624507,0.2573494810593187
191664964,117,0.3565800301964062,0.3576103367612086,0.3545680164330657,0.3475081484937437,0.3295134231449622,0.3140426248841715,0.2959118213098501,0.2789409226103691,0.25866850696266924
