model,group,k,no_mean,no_std,trust_mean,trust_std
dur_3s_backheavy,duration,154,0.466861038961039,0.0,0.8675290595263505,0.0
dur_3s_backheavy,duration,155,0.4669883870967742,0.0,0.8671050095013815,0.0
dur_3s_backheavy,duration,156,0.4671141025641026,0.0,0.8666432222732169,0.0
dur_3s_backheavy,duration,157,0.46731592356687895,0.0,0.8661935155056981,0.0
dur_3s_backheavy,duration,158,0.4675012658227848,0.0,0.8657767737747485,0.0
dur_3s_backheavy,duration,159,0.4676490566037736,0.0,0.8652798950946737,0.0
dur_3s_backheavy,duration,160,0.46776125,0.0,0.8647976361961708,0.0
dur_3s_backheavy,duration,161,0.4678670807453416,0.0,0.8643692551838656,0.0
dur_3s_backheavy,duration,162,0.4680358024691358,0.0,0.8639234648518765,0.0
dur_3s_backheavy,duration,163,0.46815337423312886,0.0,0.8634575061516707,0.0
dur_3s_backheavy,duration,164,0.4683390243902439,0.0,0.863042825760562,0.0
dur_3s_backheavy,duration,165,0.4684521212121212,0.0,0.8626162401632606,0.0
dur_3s_backheavy,duration,166,0.46859036144578314,0.0,0.8622061961717074,0.0
dur_3s_backheavy,duration,167,0.46876407185628743,0.0,0.8617733329267256,0.0
dur_3s_backheavy,duration,168,0.46891666666666665,0.0,0.861312969221659,0.0
dur_3s_backheavy,duration,169,0.4690532544378698,0.0,0.8608669773929732,0.0
dur_3s_backheavy,duration,170,0.46919176470588236,0.0,0.8604430250876084,0.0
dur_3s_backheavy,duration,171,0.46929473684210526,0.0,0.8599778937561426,0.0
dur_3s_backheavy,duration,172,0.4694976744186046,0.0,0.8595451359876263,0.0
dur_3s_backheavy,duration,173,0.4696150289017341,0.0,0.8591404849303124,0.0
dur_3s_backheavy,duration,174,0.4697689655172414,0.0,0.8587417294335,0.0
dur_3s_backheavy,duration,175,0.469888,0.0,0.858302417314752,0.0
dur_3s_backheavy,duration,176,0.4699590909090909,0.0,0.8578187987072332,0.0
dur_3s_backheavy,duration,177,0.46998531073446326,0.0,0.8574003722393739,0.0
dur_3s_backheavy,duration,178,0.4701213483146067,0.0,0.857012900617138,0.0
dur_3s_backheavy,duration,179,0.47023128491620114,0.0,0.8565719127992488,0.0
dur_3s_backheavy,duration,180,0.47027555555555556,0.0,0.8561446574803417,0.0
dur_3s_backheavy,duration,181,0.47039005524861877,0.0,0.8556746893277815,0.0
