rho,gamma,seed,no_at_10,no_at_30,no_at_100,auc_near,auc_mid
200,0.75,4,0.07001516300227445,0.14570381602223906,0.3147156937073541,0.043381996341624846,0.19897584995317363
200,1.125,0,0.09624715693707354,0.1712534748546879,0.3228354814253222,0.06755791424479825,0.21882358618081504
200,1.125,2,0.09492039423805913,0.16985089714430124,0.3233775587566338,0.06934797585953764,0.2182692513948386
200,1.125,1,0.09700530705079606,0.1705332322466515,0.3231235784685368,0.0688201589708413,0.21896442329157378
200,1.125,3,0.09734647460197118,0.17127874652514533,0.3242153146322972,0.070317821341324,0.2193663343709778
200,1.125,4,0.09620924943138741,0.17156937073540562,0.32351402577710386,0.06995463133446454,0.2190968674267851
200,1.5,0,0.1621683093252464,0.1973338387667425,0.31476876421531463,0.15080986678219432,0.23317255207199591
200,1.5,1,0.16228203184230477,0.19710639373262573,0.3154056103108415,0.14651351733516255,0.23346584845233753
200,1.5,2,0.16353297952994694,0.1989512256760172,0.3155193328278999,0.14867845710434796,0.23460503097387483
200,1.5,3,0.16194086429112964,0.1986858731362143,0.3156633813495072,0.15148478585267816,0.23499991329928935
200,1.5,4,0.1607278241091736,0.19829416224412433,0.31592115238817287,0.1483204718581898,0.23470270329033377
200,1.875,0,0.20390447308567097,0.1970558503917109,0.2887983320697498,0.25379794096056424,0.22492709221180762
200,1.875,1,0.20394238059135708,0.19392216325499115,0.2862016679302502,0.25338828417391723,0.22284361889112086
200,1.875,2,0.2007202426080364,0.19508466009603234,0.2867475360121304,0.25074622128356017,0.22304578755777302
200,1.875,3,0.20223654283548143,0.19399797826636342,0.2881084154662623,0.2541000427211572,0.22373814245920443
200,1.875,4,0.2020849128127369,0.19527419762446296,0.2878695981804397,0.2539768132423553,0.22378695328461365
200,2.25,0,0.20473843821076573,0.1859363153904473,0.26986353297953,0.27402013610599657,0.21200702259815377
200,2.25,1,0.20223654283548143,0.18568359868587314,0.27025018953752844,0.27411410760917965,0.21182755379951307
200,2.25,2,0.19969673995451098,0.18582259287338893,0.27083017437452617,0.2721881205097657,0.21185025674348115
200,2.25,3,0.20367702805155422,0.1851908011119535,0.2703146322971948,0.27484906193966085,0.21155145474362427
200,2.25,4,0.20193328278999242,0.18520343694718222,0.2718157695223654,0.27292510559948013,0.21183307239144367
200,2.625,1,0.19874905231235784,0.17904978519080111,0.262289613343442,0.2794989590478597,0.20421507006290723
200,2.625,0,0.20007581501137225,0.17868334596916857,0.2593821076573162,0.28114900357413625,0.20350224209082982
